type,event_type,startedAt,duration,cause,cpu_user,cpu_kernel,cpu_wallClock,heap_occupancy_before_coll,heap_occupancy_after_coll,heap_size_before_coll,heap_size_after_coll,perm_or_meta_occupancy_before_coll,perm_or_meta_occupancy_after_coll,perm_or_meta_size_before_coll,perm_or_meta_size_after_coll
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:47:22.176+02:00@2189047.689,0.006285,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,538624,185344,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:47:22.182+02:00@2189047.695,0.0013759999999999998,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:47:22.182+02:00@2189047.695,0.001349,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:47:27.321+02:00@2189052.834,0.004842,G1_EVACUATION_PAUSE,0.01,0.0,0.0,769024,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:47:33.291+02:00@2189058.804,0.004674,G1_EVACUATION_PAUSE,0.01,0.0,0.0,757760,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:47:38.808+02:00@2189064.321,0.004888,G1_EVACUATION_PAUSE,0.0,0.01,0.01,754688,185344,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:47:44.215+02:00@2189069.728,0.005649,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,693248,187392,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:47:44.220+02:00@2189069.733,0.001913,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:47:44.220+02:00@2189069.733,0.0018939999999999999,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:47:51+02:00@2189076.513,0.005004,G1_EVACUATION_PAUSE,0.01,0.0,0.0,751616,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:47:57.708+02:00@2189083.221,0.0052,G1_EVACUATION_PAUSE,0.01,0.0,0.01,757760,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:04.648+02:00@2189090.161,0.0055780000000000005,G1_EVACUATION_PAUSE,0.01,0.0,0.01,764928,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:10.346+02:00@2189095.859,0.005893,G1_EVACUATION_PAUSE,0.02,0.0,0.01,764928,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:16.493+02:00@2189102.007,0.005333,G1_EVACUATION_PAUSE,0.01,0.0,0.01,761856,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:21.961+02:00@2189107.474,0.004772,G1_EVACUATION_PAUSE,0.01,0.0,0.0,768000,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:28.763+02:00@2189114.277,0.005684,G1_EVACUATION_PAUSE,0.01,0.0,0.01,749568,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:35.581+02:00@2189121.094,0.005602,G1_EVACUATION_PAUSE,0.01,0.0,0.0,761856,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:41.268+02:00@2189126.781,0.005779,G1_EVACUATION_PAUSE,0.0,0.01,0.01,774144,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:48.213+02:00@2189133.726,0.005057000000000001,G1_EVACUATION_PAUSE,0.01,0.0,0.01,752640,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:48:55.018+02:00@2189140.531,0.0054,G1_EVACUATION_PAUSE,0.01,0.0,0.0,749568,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:49:01.916+02:00@2189147.429,0.0057469999999999995,G1_EVACUATION_PAUSE,0.01,0.0,0.01,740352,186368,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:49:08.016+02:00@2189153.529,0.006763,G1_EVACUATION_PAUSE,0.01,0.01,0.01,774144,187392,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:49:14.490+02:00@2189160.003,0.006498,G1_EVACUATION_PAUSE,0.01,0.0,0.0,765952,186368,921600,921600,111841,111841,112576,112576
